PnPID,D1,D2,D3,D4,D5,D6,D7
7349,Lekvloeistofpomp,"10 m3/h, h=9.8 m",1.4408,NPSH=-0.2 bar,Type: Centrifugaalpomp,Etaprime L,Fabr.: KSB
7841,FZ-pomp,"10 m3/h, h=20 m",1.4408,,Type: Centrifugaalpomp,magneetgekoppeld,Fabr.: Klaus Union
7994,FZ-pomp,"10 m3/h, h=20 m",1.4408,,Type: Centrifugaalpomp,magneetgekoppeld,Fabr.: Klaus Union
8479,pomp,"10m3/h, h=31m WK",1.4408,,Type:Centrifugaalpomp,magneetgekoppeld,Fabr.: Klaus Union
8778,pomp,"1 m3/h, h=22m WK",1.4408,,Type: tandwielpomp,,
8794,pomp,"1 m3/h, h=22m WK",1.4408,,Type: tandwielpomp,,
9629,Verf-pomp,"100 l/h, h=10m",1.4408,,Type: tandwielpomp,,
9665,Verf-pomp,"100 l/h, h=10m",1.4408,,Type: tandwielpomp,,
10778,pomp,"10m3/h, h=31m WK",1.4408,,Type:Centrifugaalpomp,magneetgekoppeld,Fabr.: Klaus Union
12416,,,,,,,
