PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
3404,Vessel,VESSEL,,,,,0,#Status,New,
3406,Vessel,VESSEL,,,,,0,#Status,New,
3408,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3414,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3418,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3426,Vessel,VESSEL,,,,,0,#Status,New,
3428,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3438,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3440,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3442,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3446,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3448,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3456,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3460,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3466,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3472,Vessel,VESSEL,,,,,0,#Status,New,
3474,Vessel,VESSEL,,,,,0,#Status,New,
3478,Vessel,VESSEL,,,,,0,#Status,New,
3482,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3488,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3492,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3494,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3501,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3505,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3507,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3513,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3517,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3519,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3525,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3527,Flexible Hose,FLEXIBLE HOSE,,,,,0,,New,
3531,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
3533,Flexible Hose,FLEXIBLE HOSE,,,,,0,,New,
3583,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3593,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3608,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3610,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3612,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3616,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3620,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3622,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3624,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3626,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3628,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3630,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3632,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3634,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3636,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3638,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3640,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3642,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3644,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3646,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3648,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3650,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3652,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3660,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3672,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
3674,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
3676,Gate Valve,GATE VALVE,,,,,0,,New,0.02781
3690,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3698,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3713,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3717,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3719,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3725,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3735,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3737,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3743,Gate Valve,GATE VALVE,,,,,0,,New,0.02781
3745,Gate Valve,GATE VALVE,,,,,0,"Spec,Size",,0.02781
3747,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3751,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3771,Plug,PLUG,,,,,0,,New,
3779,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3785,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3799,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3808,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3818,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3848,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3850,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3854,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3856,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3858,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3860,Plug,PLUG,,,,,0,,,
3870,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
3880,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
3884,Flexible Hose,FLEXIBLE HOSE,,,,,0,,New,
3890,Vessel,VESSEL,,,,,0,#Status,New,
3953,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3957,Gate Valve,GATE VALVE,,,,,0,Size,New,3.208136
3959,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3961,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3965,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3967,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3969,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3971,Gate Valve,GATE VALVE,,,,,0,,New,0.02781
3973,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3975,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3979,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
3981,Gate Valve,GATE VALVE,,,,,0,Size,New,3.523306
3987,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3993,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
3997,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
3999,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4002,Gate Valve,GATE VALVE,,,,,0,Size,,0.231565
4008,Gate Valve,GATE VALVE,,,,,0,Size,,0.231565
4010,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4038,Gate Valve,GATE VALVE,,,,,0,Size,New,0.859769
4040,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4042,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4044,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
4046,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
4054,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4056,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4058,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4060,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4062,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4064,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
4066,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4068,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4070,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4072,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4074,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4076,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4078,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4080,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
4082,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4084,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
4086,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4088,Plug,PLUG,,,,,0,"#Status,#Size,#Spec",,
4092,Gate Valve,GATE VALVE,,,,,0,Size,,0.02781
4094,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4109,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4115,Vessel,VESSEL,,,,,0,#Status,New,
4117,Vessel,VESSEL,,,,,0,#Status,New,
4157,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4159,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4161,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4163,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4165,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4169,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4171,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4179,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4197,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4199,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4208,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4212,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4214,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4216,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4236,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4238,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4242,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4244,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4246,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4250,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4252,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4258,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4262,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4264,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,NEW,
4268,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4280,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4282,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4284,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4288,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
4290,Vessel,VESSEL,,,,,0,#Status,New,
4292,Vessel,VESSEL,,,,,0,#Status,New,
4301,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
