PnPID,Tag,Area,Type,LoopNumber,Location
11935,HVMK-H 439,DICHT,HVMK-H,439,
12043,NM-NR 440,,NM-NR,440,
12049,LISA-L 440,,LISA-L,440,
12059,TS-NU 440,,TS-NU,440,
12061,NK-NU 440,,NK-NU,440,
12065,GO-H 439,DICHT,GO-H,439,
12110,HVMK-H 440,DICHT,HVMK-H,440,
12112,GO-H 440,DICHT,GO-H,440,
12149,LIS-A-L 441,,LIS-A-L,441,
12151,NM-NR 441,,NM-NR,441,
12164,NK-NU 441,,NK-NU,441,
12166,TS-NU 441,,TS-NU,441,
12285,TIS-A-T 441,,TIS-A-T,441,
12287,SIC-NP 441,STOP,SIC-NP,441,
12289,NO-A-M-K-NP 441,STOP,NO-A-M-K-NP,441,
12291,NIM-NP 441,STOP,NIM-NP,441,
12293,NM-NP 441,STOP,NM-NP,441,
12295,PICA-P 441,,PICA-P,441,
12297,HVM-K-H 441,DICHT,HVM-K-H,441,
12299,GO-H 441,DICHT,GO-H,441,
12305,FVK-F 464-1,OPEN,FVK-F,464-1,
12307,FFCA-F 464,,FFCA-F,464,
12309,PI-P 446,,PI-P,446,
12319,FIR-F 463,,FIR-F,463,
12327,NK-NU 442,,NK-NU,442,
12401,PDIS-P 445,,PDIS-P,445,
12404,GO-H 442,DICHT,GO-H,442,
12406,HVM-K-H 442,DICHT,HVM-K-H,442,
12408,PIA-P 444,,PIA-P,444,
12411,HM-A-H 443,,HM-A-H,443,
12518,FI ?,,FI,,
12523,? ?,,,,
12589,FE ?,,FE,,
12651,OV 62,,OV,62,
