PnPID,ClassName,Description,Comment,FlagValue,AcquisitionProperties,ParamOnLine
3935,Flow Arrow,FLOW ARROW,,0,,1.000002
3937,Flow Arrow,FLOW ARROW,,0,,2.0
4175,Flow Arrow,FLOW ARROW,,0,,2.995023
4266,Flow Arrow,FLOW ARROW,,0,,0.183156
4298,Flow Arrow,FLOW ARROW,,0,,0.028284
6048,Flow Arrow,FLOW ARROW,,0,,0.656193
6062,Annotation,ANNOTATION,,0,,
6294,Annotation,ANNOTATION,,0,,
6301,Annotation,ANNOTATION,,0,,
6304,Annotation,ANNOTATION,,0,,
6306,Annotation,ANNOTATION,,0,,
6314,Off Page Connector,OFF PAGE CONNECTOR,,0,,
6326,Off Page Connector,OFF PAGE CONNECTOR,de,0,,
6334,Annotation,ANNOTATION,,0,,
6777,Flow Arrow,FLOW ARROW,,0,,1.0
7259,Annotation,ANNOTATION,,0,,
7262,Annotation,ANNOTATION,,0,,
7291,Flow Arrow,FLOW ARROW,,0,,
7355,Annotation,ANNOTATION,,0,,
7371,Annotation,ANNOTATION,,0,,
7393,Annotation,ANNOTATION,,0,,
7395,Annotation,ANNOTATION,,0,,
7430,Flow Arrow,FLOW ARROW,,0,,
7455,Flow Arrow,FLOW ARROW,,0,,
7463,Annotation,ANNOTATION,,0,,
7676,Flow Arrow,FLOW ARROW,,0,,1.0
7830,Annotation,ANNOTATION,,0,,
7833,Annotation,ANNOTATION,,0,,
7839,Annotation,ANNOTATION,,0,,
7990,Annotation,ANNOTATION,,0,,
7992,Annotation,ANNOTATION,,0,,
8141,Annotation,ANNOTATION,,0,,
8143,Annotation,ANNOTATION,,0,,
8145,Annotation,ANNOTATION,,0,,
8147,Annotation,ANNOTATION,,0,,
8149,Annotation,ANNOTATION,,0,,
8151,Annotation,ANNOTATION,,0,,
8170,Annotation,ANNOTATION,,0,,
8174,Annotation,ANNOTATION,,0,,
8178,Annotation,ANNOTATION,,0,,
8188,Annotation,ANNOTATION,,0,,
8192,Annotation,ANNOTATION,,0,,
8194,Annotation,ANNOTATION,,0,,
8203,Annotation,ANNOTATION,,0,,
8205,Annotation,ANNOTATION,,0,,
8207,Annotation,ANNOTATION,,0,,
8209,Annotation,ANNOTATION,,0,,
8211,Annotation,ANNOTATION,,0,,
8213,Annotation,ANNOTATION,,0,,
8215,Annotation,ANNOTATION,,0,,
8223,Annotation,ANNOTATION,,0,,
8229,Annotation,ANNOTATION,,0,,
8231,Annotation,ANNOTATION,,0,,
8239,Annotation,ANNOTATION,,0,,
8278,Annotation,ANNOTATION,,0,,
8282,Annotation,ANNOTATION,,0,,
8294,Annotation,ANNOTATION,,0,,
8296,Annotation,ANNOTATION,,0,,
8298,Annotation,ANNOTATION,,0,,
8301,Annotation,ANNOTATION,,0,,
8303,Annotation,ANNOTATION,,0,,
8305,Annotation,ANNOTATION,,0,,
8307,Annotation,ANNOTATION,,0,,
8309,Annotation,ANNOTATION,,0,,
8311,Annotation,ANNOTATION,,0,,
8313,Annotation,ANNOTATION,,0,,
8315,Annotation,ANNOTATION,,0,,
8317,Annotation,ANNOTATION,,0,,
8319,Annotation,ANNOTATION,,0,,
8321,Annotation,ANNOTATION,,0,,
8323,Annotation,ANNOTATION,,0,,
8325,Annotation,ANNOTATION,,0,,
8327,Annotation,ANNOTATION,,0,,
8329,Annotation,ANNOTATION,,0,,
8331,Annotation,ANNOTATION,,0,,
8333,Annotation,ANNOTATION,,0,,
8335,Annotation,ANNOTATION,,0,,
8337,Annotation,ANNOTATION,,0,,
8339,Annotation,ANNOTATION,,0,,
8341,Annotation,ANNOTATION,,0,,
8343,Annotation,ANNOTATION,,0,,
8406,Flow Arrow,FLOW ARROW,,0,,1.0
8410,Annotation,ANNOTATION,,0,,
8414,Annotation,ANNOTATION,,0,,
8416,Annotation,ANNOTATION,,0,,
8418,Annotation,ANNOTATION,,0,,
8420,Annotation,ANNOTATION,,0,,
8422,Annotation,ANNOTATION,,0,,
8424,Annotation,ANNOTATION,,0,,
8437,Annotation,ANNOTATION,,0,,
8441,Annotation,ANNOTATION,,0,,
8447,Annotation,ANNOTATION,,0,,
8453,Annotation,ANNOTATION,,0,,
8455,Annotation,ANNOTATION,,0,,
8457,Annotation,ANNOTATION,,0,,
8463,Annotation,ANNOTATION,,0,,
8465,Annotation,ANNOTATION,,0,,
8467,Annotation,ANNOTATION,,0,,
8477,Annotation,ANNOTATION,,0,,
8484,Annotation,ANNOTATION,,0,,
8495,Annotation,ANNOTATION,,0,,
8502,Annotation,ANNOTATION,,0,,
8511,Annotation,ANNOTATION,,0,,
8517,Annotation,ANNOTATION,,0,,
8521,Annotation,ANNOTATION,,0,,
8529,Annotation,ANNOTATION,,0,,
8531,Annotation,ANNOTATION,,0,,
8539,Annotation,ANNOTATION,,0,,
8542,Annotation,ANNOTATION,,0,,
8547,Annotation,ANNOTATION,,0,,
8553,Annotation,ANNOTATION,,0,,
8563,Annotation,ANNOTATION,,0,,
8565,Annotation,ANNOTATION,,0,,
8567,Annotation,ANNOTATION,,0,,
8593,Annotation,ANNOTATION,,0,,
8607,Annotation,ANNOTATION,,0,,
8611,Annotation,ANNOTATION,,0,,
8614,Annotation,ANNOTATION,,0,,
8622,Annotation,ANNOTATION,,0,,
8676,Off Page Connector,OFF PAGE CONNECTOR,,0,,
8680,Annotation,ANNOTATION,,0,,
8685,Annotation,ANNOTATION,,0,,
8689,Annotation,ANNOTATION,,0,,
8692,Annotation,ANNOTATION,,0,,
8695,Annotation,ANNOTATION,,0,,
8698,Annotation,ANNOTATION,,0,,
8704,Annotation,ANNOTATION,,0,,
8717,Annotation,ANNOTATION,,0,,
8739,Annotation,ANNOTATION,,0,,
8745,Annotation,ANNOTATION,,0,,
8753,Annotation,ANNOTATION,,0,,
8773,Annotation,ANNOTATION,,0,,
8780,Annotation,ANNOTATION,,0,,
8789,Annotation,ANNOTATION,,0,,
8796,Annotation,ANNOTATION,,0,,
8803,Annotation,ANNOTATION,,0,,
8809,Annotation,ANNOTATION,,0,,
8815,Annotation,ANNOTATION,,0,,
8818,Annotation,ANNOTATION,,0,,
8821,Annotation,ANNOTATION,,0,,
8834,Annotation,ANNOTATION,,0,,
8840,Annotation,ANNOTATION,,0,,
8843,Annotation,ANNOTATION,,0,,
8845,Annotation,ANNOTATION,,0,,
8847,Annotation,ANNOTATION,,0,,
8878,Annotation,ANNOTATION,,0,,
8887,Annotation,ANNOTATION,,0,,
8892,Annotation,ANNOTATION,,0,,
9026,Annotation,ANNOTATION,,0,,
9031,Annotation,ANNOTATION,,0,,
9033,Annotation,ANNOTATION,,0,,
9036,Annotation,ANNOTATION,,0,,
9049,Annotation,ANNOTATION,,0,,
9079,Annotation,ANNOTATION,,0,,
9085,Annotation,ANNOTATION,,0,,
9087,Annotation,ANNOTATION,,0,,
9095,Flow Arrow,FLOW ARROW,,0,,0.885923
9110,Flow Arrow,FLOW ARROW,,0,,
9145,Flow Arrow,FLOW ARROW,,0,,0.885923
9158,Annotation,ANNOTATION,,0,,
9169,Annotation,ANNOTATION,,0,,
9175,Annotation,ANNOTATION,,0,,
9196,Annotation,ANNOTATION,,0,,
9202,Annotation,ANNOTATION,,0,,
9208,Annotation,ANNOTATION,,0,,
9234,Flow Arrow,FLOW ARROW,,0,,0.885923
9238,Annotation,ANNOTATION,,0,,
9249,Annotation,ANNOTATION,,0,,
9252,Annotation,ANNOTATION,,0,,
9260,Annotation,ANNOTATION,,0,,
9281,Annotation,ANNOTATION,,0,,
9284,Annotation,ANNOTATION,,0,,
9287,Annotation,ANNOTATION,,0,,
9314,Annotation,ANNOTATION,,0,,
9317,Annotation,ANNOTATION,,0,,
9323,Annotation,ANNOTATION,,0,,
9325,Annotation,ANNOTATION,,0,,
9332,Annotation,ANNOTATION,,0,,
9336,Annotation,ANNOTATION,,0,,
9342,Annotation,ANNOTATION,,0,,
9367,Annotation,ANNOTATION,,0,,
9371,Annotation,ANNOTATION,,0,,
9375,Annotation,ANNOTATION,,0,,
9473,Annotation,ANNOTATION,,0,,
9479,Annotation,ANNOTATION,,0,,
9483,Annotation,ANNOTATION,,0,,
9489,Annotation,ANNOTATION,,0,,
9499,Flow Arrow,FLOW ARROW,,0,,0.171495
9514,Annotation,ANNOTATION,,0,,
9520,Annotation,ANNOTATION,,0,,
9526,Annotation,ANNOTATION,,0,,
9529,Annotation,ANNOTATION,,0,,
9531,Annotation,ANNOTATION,,0,,
9534,Annotation,ANNOTATION,,0,,
9537,Annotation,ANNOTATION,,0,,
9540,Annotation,ANNOTATION,,0,,
9546,Annotation,ANNOTATION,,0,,
9551,Annotation,ANNOTATION,,0,,
9563,Annotation,ANNOTATION,,0,,
9571,Annotation,ANNOTATION,,0,,
9588,Annotation,ANNOTATION,,0,,
9591,Annotation,ANNOTATION,,0,,
9597,Annotation,ANNOTATION,,0,,
9604,Annotation,ANNOTATION,,0,,
9606,Annotation,ANNOTATION,,0,,
9609,Annotation,ANNOTATION,,0,,
9613,Annotation,ANNOTATION,,0,,
9615,Annotation,ANNOTATION,,0,,
9621,Annotation,ANNOTATION,,0,,
9623,Annotation,ANNOTATION,,0,,
9627,Annotation,ANNOTATION,,0,,
9642,Annotation,ANNOTATION,,0,,
9646,Annotation,ANNOTATION,,0,,
9650,Annotation,ANNOTATION,,0,,
9654,Annotation,ANNOTATION,,0,,
9656,Annotation,ANNOTATION,,0,,
9702,Annotation,ANNOTATION,,0,,
9806,Annotation,ANNOTATION,,0,,
9809,Annotation,ANNOTATION,,0,,
9811,Annotation,ANNOTATION,,0,,
9813,Annotation,ANNOTATION,,0,,
9815,Annotation,ANNOTATION,,0,,
9817,Annotation,ANNOTATION,,0,,
9819,Annotation,ANNOTATION,,0,,
9821,Annotation,ANNOTATION,,0,,
9823,Annotation,ANNOTATION,,0,,
9825,Annotation,ANNOTATION,,0,,
9827,Annotation,ANNOTATION,,0,,
9831,Annotation,ANNOTATION,,0,,
9833,Annotation,ANNOTATION,,0,,
9837,Annotation,ANNOTATION,,0,,
9839,Annotation,ANNOTATION,,0,,
9909,Annotation,ANNOTATION,,0,,
9915,Annotation,ANNOTATION,,0,,
9917,Annotation,ANNOTATION,,0,,
9920,Annotation,ANNOTATION,,0,,
9924,Annotation,ANNOTATION,,0,,
9926,Annotation,ANNOTATION,,0,,
9930,Annotation,ANNOTATION,,0,,
9932,Annotation,ANNOTATION,,0,,
10104,Annotation,ANNOTATION,,0,,
10109,Annotation,ANNOTATION,,0,,
10114,Annotation,ANNOTATION,,0,,
10116,Annotation,ANNOTATION,,0,,
10137,Annotation,ANNOTATION,,0,,
10144,Annotation,ANNOTATION,,0,,
10146,Annotation,ANNOTATION,,0,,
10150,Annotation,ANNOTATION,,0,,
10153,Annotation,ANNOTATION,,0,,
10157,Annotation,ANNOTATION,,0,,
10164,Annotation,ANNOTATION,,0,,
10167,Annotation,ANNOTATION,,0,,
10169,Annotation,ANNOTATION,,0,,
10173,Annotation,ANNOTATION,,0,,
10184,Annotation,ANNOTATION,,0,,
10195,Annotation,ANNOTATION,,0,,
10197,Annotation,ANNOTATION,,0,,
10202,Annotation,ANNOTATION,,0,,
10204,Annotation,ANNOTATION,,0,,
10208,Annotation,ANNOTATION,,0,,
10210,Annotation,ANNOTATION,,0,,
10212,Annotation,ANNOTATION,,0,,
10214,Annotation,ANNOTATION,,0,,
10216,Annotation,ANNOTATION,,0,,
10218,Annotation,ANNOTATION,,0,,
10254,Flow Arrow,FLOW ARROW,,0,,2.0
10260,Flow Arrow,FLOW ARROW,,0,,5.0
10279,Annotation,ANNOTATION,,0,,
10287,Flow Arrow,FLOW ARROW,,0,,
10306,Flow Arrow,FLOW ARROW,,0,,2.0
10322,Flow Arrow,FLOW ARROW,,0,,2.0
10429,Annotation,ANNOTATION,,0,,
10541,Flow Arrow,FLOW ARROW,,0,,1.0
10599,Annotation,ANNOTATION,,0,,
10652,Flow Arrow,FLOW ARROW,,0,,1.000002
10654,Flow Arrow,FLOW ARROW,,0,,1.000002
10656,Flow Arrow,FLOW ARROW,,0,,1.000002
10704,Annotation,ANNOTATION,,0,,
10765,Annotation,ANNOTATION,,0,,
10776,Annotation,ANNOTATION,,0,,
10780,Annotation,ANNOTATION,,0,,
10934,Annotation,ANNOTATION,,0,,
10982,Annotation,ANNOTATION,,0,,
11230,Flow Arrow,FLOW ARROW,,0,,
11242,Annotation,ANNOTATION,,0,,
11246,Annotation,ANNOTATION,,0,,
11256,Annotation,ANNOTATION,,0,,
11258,Annotation,ANNOTATION,,0,,
11260,Annotation,ANNOTATION,,0,,
11262,Annotation,ANNOTATION,,0,,
11264,Annotation,ANNOTATION,,0,,
11266,Annotation,ANNOTATION,,0,,
11268,Annotation,ANNOTATION,,0,,
11270,Annotation,ANNOTATION,,0,,
11273,Annotation,ANNOTATION,,0,,
11275,Annotation,ANNOTATION,,0,,
11277,Annotation,ANNOTATION,,0,,
11279,Annotation,ANNOTATION,,0,,
11281,Annotation,ANNOTATION,,0,,
11283,Annotation,ANNOTATION,,0,,
11285,Annotation,ANNOTATION,,0,,
11287,Annotation,ANNOTATION,,0,,
11289,Annotation,ANNOTATION,,0,,
11291,Annotation,ANNOTATION,,0,,
11309,Annotation,ANNOTATION,,0,,
11311,Annotation,ANNOTATION,,0,,
11313,Annotation,ANNOTATION,,0,,
11315,Annotation,ANNOTATION,,0,,
11317,Annotation,ANNOTATION,,0,,
11402,Annotation,ANNOTATION,,0,,
11404,Annotation,ANNOTATION,,0,,
11406,Annotation,ANNOTATION,,0,,
11408,Annotation,ANNOTATION,,0,,
11410,Annotation,ANNOTATION,,0,,
11412,Annotation,ANNOTATION,,0,,
11414,Annotation,ANNOTATION,,0,,
11416,Annotation,ANNOTATION,,0,,
11418,Annotation,ANNOTATION,,0,,
11420,Annotation,ANNOTATION,,0,,
11422,Annotation,ANNOTATION,,0,,
11424,Annotation,ANNOTATION,,0,,
11426,Annotation,ANNOTATION,,0,,
11428,Annotation,ANNOTATION,,0,,
11430,Annotation,ANNOTATION,,0,,
11432,Annotation,ANNOTATION,,0,,
11434,Annotation,ANNOTATION,,0,,
11436,Annotation,ANNOTATION,,0,,
11438,Annotation,ANNOTATION,,0,,
11445,Annotation,ANNOTATION,,0,,
11933,Solenoid,SOLENOID,,0,,
11943,Flow Arrow,FLOW ARROW,,0,,
12012,Flow Arrow,FLOW ARROW,,0,,0.315177
12054,Flow Arrow,FLOW ARROW,,0,,
12057,Rotary Motor,ROTARY MOTOR,,0,,
12076,Flow Arrow,FLOW ARROW,,0,,
12082,Solenoid,SOLENOID,,0,,
12121,Flow Arrow,FLOW ARROW,,0,,0.288806
12126,Flow Arrow,FLOW ARROW,,0,,1.0
12137,Flow Arrow,FLOW ARROW,,0,,0.490528
12144,Flow Arrow,FLOW ARROW,,0,,
12210,Flow Arrow,FLOW ARROW,,0,,
12216,Flow Arrow,FLOW ARROW,,0,,0.75317
12221,Flow Arrow,FLOW ARROW,,0,,0.5
12226,Flow Arrow,FLOW ARROW,,0,,
12231,Flow Arrow,FLOW ARROW,,0,,0.844267
12236,Flow Arrow,FLOW ARROW,,0,,
12244,Flow Arrow,FLOW ARROW,,0,,0.383963
12249,Flow Arrow,FLOW ARROW,,0,,
12254,Flow Arrow,FLOW ARROW,,0,,3.0
12386,Solenoid,SOLENOID,,0,,
12397,Flow Arrow,FLOW ARROW,,0,,1.0
12414,Rotary Motor,ROTARY MOTOR,,0,,
12435,Flow Arrow,FLOW ARROW,,0,,0.387653
12439,Flow Arrow,FLOW ARROW,,0,,
12441,Flow Arrow,FLOW ARROW,,0,,
12449,Flow Arrow,FLOW ARROW,,0,,
12453,Flow Arrow,FLOW ARROW,,0,,0.739562
12479,Flow Arrow,FLOW ARROW,,0,,0.772433
12484,Flow Arrow,FLOW ARROW,,0,,
12503,Flow Arrow,FLOW ARROW,,0,,
12508,Flow Arrow,FLOW ARROW,,0,,
12515,Flow Arrow,FLOW ARROW,,0,,1.0
12532,Flow Arrow,FLOW ARROW,,0,,0.646085
12540,Solenoid,SOLENOID,,0,,
12593,Manual Actuator,MANUAL ACTUATOR,,0,,
12602,Manual Actuator,MANUAL ACTUATOR,,0,,
12604,Manual Actuator,MANUAL ACTUATOR,,0,,
12606,Manual Actuator,MANUAL ACTUATOR,,0,,
12608,Manual Actuator,MANUAL ACTUATOR,,0,,
12612,Manual Actuator,MANUAL ACTUATOR,,0,,
12620,Manual Actuator,MANUAL ACTUATOR,,0,,
12622,Manual Actuator,MANUAL ACTUATOR,,0,,
12624,Manual Actuator,MANUAL ACTUATOR,,0,,
12626,Manual Actuator,MANUAL ACTUATOR,,0,,
12636,Flow Arrow,FLOW ARROW,,0,,
12638,Flow Arrow,FLOW ARROW,,0,,
12640,Off Page Connector,OFF PAGE CONNECTOR,,0,,
12642,Flow Arrow,FLOW ARROW,,0,,
12644,Flow Arrow,FLOW ARROW,,0,,
12646,Solenoid,SOLENOID,,0,,
