PnPID,Tag,LineNumber,Description,Service,NominalSize,NominalSpec,Comment,AcquisitionProperties,Status
712,?,,PIPE LINE GROUP,,,,,,New
719,?,,PIPE LINE GROUP,,,,,,New
726,?,,PIPE LINE GROUP,,,,,,New
733,?,,PIPE LINE GROUP,,,,,,New
768,?,,PIPE LINE GROUP,,,,,,New
775,?,,PIPE LINE GROUP,,,,,,New
778,?,,PIPE LINE GROUP,,,,,,New
783,?,,PIPE LINE GROUP,,,,,,New
792,?,,PIPE LINE GROUP,,,,,,New
802,?,,PIPE LINE GROUP,,,,,,New
813,?,,PIPE LINE GROUP,,,,,,New
818,?,,PIPE LINE GROUP,,,,,,New
825,?,,PIPE LINE GROUP,,,,,,New
906,?,,PIPE LINE GROUP,,,,,,New
911,?,,PIPE LINE GROUP,,,,,,New
914,?,,PIPE LINE GROUP,,,,,,New
917,?,,PIPE LINE GROUP,,,,,,New
925,?,,PIPE LINE GROUP,,,,,,New
930,?,,PIPE LINE GROUP,,,,,,New
1214,?,,PIPE LINE GROUP,,,,,,New
1221,?,,PIPE LINE GROUP,,,,,,New
1230,?,,PIPE LINE GROUP,,,,,,New
1233,?,,PIPE LINE GROUP,,,,,,New
1240,?,,PIPE LINE GROUP,,,,,,New
1245,?,,PIPE LINE GROUP,,,,,,New
1256,?,,PIPE LINE GROUP,,,,,,New
1259,?,,PIPE LINE GROUP,,,,,,New
1262,?,,PIPE LINE GROUP,,,,,,New
1269,?,,PIPE LINE GROUP,,,,,,New
1274,?,,PIPE LINE GROUP,,,,,,New
1308,?,,PIPE LINE GROUP,,,,,,New
1329,?,,PIPE LINE GROUP,,,,,,New
2238,?,,PIPE LINE GROUP,,,,,,New
2251,?,,PIPE LINE GROUP,,,,,,New
2260,?,,PIPE LINE GROUP,,,,,,New
2267,?,,PIPE LINE GROUP,,,,,,New
2268,?,,PIPE LINE GROUP,,,,,,New
2499,?,,PIPE LINE GROUP,,,,,,New
2507,?,,PIPE LINE GROUP,,,,,,New
2508,?,,PIPE LINE GROUP,,,,,,New
2533,?,,PIPE LINE GROUP,,,,,,New
2534,?,,PIPE LINE GROUP,,,,,,New
2535,?,,PIPE LINE GROUP,,,,,,New
2536,?,,PIPE LINE GROUP,,,,,,New
2539,?,,PIPE LINE GROUP,,,,,,New
2540,?,,PIPE LINE GROUP,,,,,,New
2569,?,,PIPE LINE GROUP,,,,,,New
2570,?,,PIPE LINE GROUP,,,,,,New
2571,?,,PIPE LINE GROUP,,,,,,New
2723,?,,PIPE LINE GROUP,,,,,,New
2724,?,,PIPE LINE GROUP,,,,,,New
2725,?,,PIPE LINE GROUP,,,,,,New
2726,?,,PIPE LINE GROUP,,,,,,New
2727,?,,PIPE LINE GROUP,,,,,,New
2728,?,,PIPE LINE GROUP,,,,,,New
2732,?,,PIPE LINE GROUP,,,,,,New
2746,?,,PIPE LINE GROUP,,,,,,New
2751,?,,PIPE LINE GROUP,,,,,,New
2752,?,,PIPE LINE GROUP,,,,,,New
2759,?,,PIPE LINE GROUP,,,,,,New
2761,?,,PIPE LINE GROUP,,,,,,New
2784,?,,PIPE LINE GROUP,,,,,,New
2785,?,,PIPE LINE GROUP,,,,,,New
2786,?,,PIPE LINE GROUP,,,,,,New
