PnPID,Tag,Size,Spec,Tracing,InsulationType,Insulation,PaintCode,To,From,OperatingTemperature,OperatingPressure,DesignPressure,DesignTemperature,TestingFluid,TestPressure,PostWeldHeatTreatment,Spec Part,SpecPartGuid
11911,020.001.1-0-4752.5183-15/25HB25T01B1,,,,,,,15,B-439,,,,,,,,,
12010,020.001.1-0-4752.5183-15/25HB25T01B1,,,,,,,"GO± H439
HVM±K H439",15,,,,,,,,,
12030,020.001.1-0-4752.5183-15/25HB25T01B1,,,,,,,B-440,15,,,,,,,,,
12052,020.007.1-0-4752.5183-50/HB25T01B1,,,,,,,,B-440,,,,,,,,,
12074,020.002.1-0-4752.5183-15/25HB25T01B1,,,,,,,15,B-440,,,,,,,,,
12119,020.002.1-0-4752.5183-15/25HB25T01B1,,,,,,,"GO± H440
HVM±K H440",15,,,,,,,,,
12124,020.002.1-0-4752.5183-15/25HB25T01B1,,,,,,,B-441,15,,,,,,,,,
12142,020.008.1-0-4752.5183-50/25HB25T01B1,,,,,,,,B-441,,,,,,,,,
12192,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,F,B-441,,,,,,,,,
12196,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1V,F,,,,,,,,,
12199,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1,15 H672B1V,,,,,,,,,
12203,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,"TISÂ°+A++
T441",15 H672B1,,,,,,,,,
12206,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1V,"TISÂ°+A++
T441",,,,,,,,,
12208,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,P-441,15 H672B1V,,,,,,,,,
12214,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,PICA+ P441,P-441,,,,,,,,,
12219,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1,PICA+ P441,,,,,,,,,
12224,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1V OV63,15 H672B1,,,,,,,,,
12229,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,"15 H672B1V
",15 H672B1V OV63,,,,,,,,,
12234,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15,"15 H672B1V
",,,,,,,,,
12239,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,"GOÂ± H441
HVMÂ±K H441",15,,,,,,,,,
12242,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,FIR F463,"GOÂ± H441
HVMÂ±K H441",,,,,,,,,
12247,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,FVK F464-1,FIR F463,,,,,,,,,
12252,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1V,FVK F464-1,,,,,,,,,
12258,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,15 H672B1V,15 H672B1V,,,,,,,,,
12263,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,PI P446,15 H672B1V,,,,,,,,,
12271,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,NK NU442,PI P446,,,,,,,,,
12395,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,25 H672B1V,Compressorlucht P= 7 bar 17,,,,,,,,,
12437,020.004.1-0-4752.5183-12mm,,,,,,,"15
",020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,,,
12444,020.004.1-0-4752.5183-12mm,,,,,,,H672B1,15,,,,,,,,,
12451,020.004.1-0-4752.5183-12mm,,,,,,,"OV61
 ",15,,,,,,,,,
12460,020.004.1-0-4752.5183-12mm,,,,,,,OV62,15,,,,,,,,,
12462,020.004.1-0-4752.5183-12mm,,,,,,,Staalname,OV62,,,,,,,,,
12466,020.004.1-0-4752.5183-12mm,,,,,,,"B-441
",Staalname,,,,,,,,,
12477,020.003.1-0-4752.5183-15/25HB25T01B1-W35,,,,,,,V940807-T-451,NK NU442,,,,,,,,,
12482,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,25,25 H672B1V,,,,,,,,,
12487,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,PIA+ P444,25,,,,,,,,,
12492,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,15,PIA+ P444,,,,,,,,,
12497,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,"GO± H442
HVM±K H442",15,,,,,,,,,
12501,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,15 H672B1,15,,,,,,,,,
12506,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,020.003.1-0-4752.5183-15/25HB25T01B1-W35,15 H672B1,,,,,,,,,
12511,020.006.1-0-120.7056-12mm,,,,,,,FI,020.005.1-0-1020.7056-25/10HA25F01B1,,,,,,,,,
12525,020.006.1-0-120.7056-12mm,,,,,,,12,FI,,,,,,,,,
12530,020.006.1-0-120.7056-12mm,,,,,,,020.003.1-0-4752.5183-15/25HB25T01B1-W35,12,,,,,,,,,
