TableName,ColumnName,AttributeName,AttributeValue
EngineeringItems,ClassName,DESCRIPTION,System property which can not be removed
EngineeringItems,ClassName,DISPLAYNAME,Class Name
EngineeringItems,ClassName,ISHIDDEN,false
EngineeringItems,ClassName,ISREADONLY,true
EngineeringItems,ClassName,ISREMOVABLE,false
EngineeringItems,ClassName,TYPE,PnPStringType
EngineeringItems,ClassName,VALUE,Engineering Items
EngineeringItems,Description,ISHIDDEN,false
EngineeringItems,Description,ISREADONLY,false
EngineeringItems,Description,ISREMOVABLE,true
EngineeringItems,Description,TYPE,PnPStringType
EngineeringItems,Description,VALUE,ENGINEERING ITEMS
EngineeringItems,Manufacturer,ISHIDDEN,false
EngineeringItems,Manufacturer,ISREADONLY,false
EngineeringItems,Manufacturer,ISREMOVABLE,true
EngineeringItems,Manufacturer,TYPE,PnPStringType
EngineeringItems,ModelNumber,DISPLAYNAME,Model Number
EngineeringItems,ModelNumber,ISHIDDEN,false
EngineeringItems,ModelNumber,ISREADONLY,false
EngineeringItems,ModelNumber,ISREMOVABLE,true
EngineeringItems,ModelNumber,TYPE,PnPStringType
EngineeringItems,Supplier,ISHIDDEN,false
EngineeringItems,Supplier,ISREADONLY,false
EngineeringItems,Supplier,ISREMOVABLE,true
EngineeringItems,Supplier,TYPE,PnPStringType
EngineeringItems,Comment,ISHIDDEN,false
EngineeringItems,Comment,ISREADONLY,false
EngineeringItems,Comment,ISREMOVABLE,true
EngineeringItems,Comment,TYPE,PnPStringType
EngineeringItems,FlagValue,DESCRIPTION,System property which can not be removed
EngineeringItems,FlagValue,DISPLAYNAME,Flag
EngineeringItems,FlagValue,ISHIDDEN,true
EngineeringItems,FlagValue,ISREADONLY,true
EngineeringItems,FlagValue,ISREMOVABLE,false
EngineeringItems,FlagValue,TYPE,PnPFlagType
EngineeringItems,FlagValue,VALUE,0
EngineeringItems,AcquisitionProperties,DESCRIPTION,System property which can not be removed
EngineeringItems,AcquisitionProperties,DISPLAYNAME,AcquisitionProperties
EngineeringItems,AcquisitionProperties,ISHIDDEN,true
EngineeringItems,AcquisitionProperties,ISREADONLY,true
EngineeringItems,AcquisitionProperties,ISREMOVABLE,false
EngineeringItems,AcquisitionProperties,TYPE,PnPStringType
EngineeringItems,Status,ISREADONLY,false
EngineeringItems,Status,ISREMOVABLE,false
EngineeringItems,Status,PICKLISTNAME,Status
EngineeringItems,Status,PICKLISTTYPE,Regular
EngineeringItems,Status,TYPE,PnPPickListType
EngineeringItems,Status,VALUE,New
EngineeringItems,ParamOnLine,ISHIDDEN,TRUE
Equipment,ClassName,ISREADONLY,true
Equipment,ClassName,TYPE,PnPStringType
Equipment,ClassName,VALUE,Equipment
Equipment,Description,TYPE,PnPStringType
Equipment,Description,VALUE,EQUIPMENT
Equipment,Tag,DESCRIPTION,System property which can not be removed
Equipment,Tag,ISHIDDEN,false
Equipment,Tag,ISREADONLY,false
Equipment,Tag,ISREMOVABLE,false
Equipment,Tag,TYPE,PnPStringType
Equipment,Type,DESCRIPTION,System property which can not be removed
Equipment,Type,ISHIDDEN,false
Equipment,Type,ISREADONLY,false
Equipment,Type,ISREMOVABLE,false
Equipment,Type,PICKLISTNAME,Equipment_Types
Equipment,Type,PICKLISTTYPE,Regular
Equipment,Type,TYPE,PnPPickListType
Equipment,EquipmentSpec,DISPLAYNAME,Equipment Spec
Equipment,EquipmentSpec,ISHIDDEN,false
Equipment,EquipmentSpec,ISREADONLY,false
Equipment,EquipmentSpec,ISREMOVABLE,true
Equipment,EquipmentSpec,TYPE,PnPStringType
Equipment,Weight,ISHIDDEN,false
Equipment,Weight,ISREADONLY,false
Equipment,Weight,ISREMOVABLE,true
Equipment,Weight,TYPE,PnPStringType
