PnPID,StyleName,PropValue,ColorValue,TransparencyValue
458,Off Spec Piping,Off Spec,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
459,Off Spec Piping,In Spec,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
461,Color by Service,AV,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
462,Color by Service,BA,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
463,Color by Service,BD,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
464,Color by Service,BFW,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
465,Color by Service,BRR,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
466,Color by Service,BRS,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
467,Color by Service,CC,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
468,Color by Service,CF,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
469,Color by Service,CHS,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
470,Color by Service,CV,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
471,Color by Service,CWR,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
472,Color by Service,CWS,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
473,Color by Service,DMW,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
474,Color by Service,DR,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
475,Color by Service,DS,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
476,Color by Service,DW,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
477,Color by Service,ER,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
478,Color by Service,FF,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
479,Color by Service,FG,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
480,Color by Service,FO,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
481,Color by Service,FW,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
482,Color by Service,GLR,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
483,Color by Service,GLS,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
484,Color by Service,H,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
485,Color by Service,HS,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
486,Color by Service,IA,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
487,Color by Service,IS,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
488,Color by Service,LNG,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
489,Color by Service,LO,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
490,Color by Service,LPG,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
491,Color by Service,LS,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
492,Color by Service,ME,GAAAAAIAAAAIAADDAAAAAAAAAAAAAAAA,0.0
493,Color by Service,MR,GAAAAAIAAAABAADDAAAAAAAAAAAAAAAA,0.0
494,Color by Service,MS,GAAAAAIAAAACAADDAAAAAAAAAAAAAAAA,0.0
495,Color by Service,N,GAAAAAIAAAADAADDAAAAAAAAAAAAAAAA,0.0
496,Color by Service,NA,GAAAAAIAAAAEAADDAAAAAAAAAAAAAAAA,0.0
497,Color by Service,NAS,GAAAAAIAAAAFAADDAAAAAAAAAAAAAAAA,0.0
498,Color by Service,NG,GAAAAAIAAAAGAADDAAAAAAAAAAAAAAAA,0.0
499,Color by Service,NH,GAAAAAIAAAAHAADDAAAAAAAAAAAAAAAA,0.0
