PicklistValue,PicklistId,PicklistValueDescription,PnPID
8,8,,46
10,8,,47
15,8,,48
20,8,,49
25,8,,50
32,8,,51
40,8,,52
50,8,,53
65,8,,54
80,8,,55
100,8,,56
125,8,,57
150,8,,58
200,8,,59
250,8,,60
300,8,,61
350,8,,62
400,8,,63
450,8,,64
500,8,,65
550,8,,66
600,8,,67
650,8,,68
700,8,,69
750,8,,70
800,8,,71
900,8,,72
1000,8,,73
100HC01,9,"Steel (1.0037), PN 100",74
100HS01,9,"Stainless steel (1.4404), PN 100",75
10HC01,9,"Steel (1.0037), PN 10",76
10HS01,9,"Stainless steel (1.4404), PN 10",77
160HC01,9,"Steel (1.0037), PN 160",78
160HS01,9,"Stainless steel (1.4404), PN 160",79
16HC01,9,"Steel (1.0037), PN 16",80
16HS01,9,"Stainless steel (1.4404), PN 16",81
1HC01,9,"Steel (1.0037), PN 1",82
1HS01,9,"Stainless steel (1.4404), PN 1",83
250HC01,9,"Steel (1.0037), PN 250",84
250HS01,9,"Stainless steel (1.4404), PN 250",85
25HC01,9,"Steel (1.0037), PN 25",86
25HS01,9,"Stainless steel (1.4404), PN 25",87
2HC01,9,"Steel (1.0037), PN 2.5",88
2HS01,9,"Stainless steel (1.4404), PN 2.5",89
320HC01,9,"Steel (1.0037), PN 320",90
320HS01,9,"Stainless steel (1.4404), PN 320",91
400HC01,9,"Steel (1.0037), PN 400",92
400HS01,9,"Stainless steel (1.4404), PN 400",93
40HC01,9,"Steel (1.0037), PN 40",94
40HS01,9,"Stainless steel (1.4404), PN 40",95
64HC01,9,"Steel (1.0037), PN 64",96
64HS01,9,"Stainless steel (1.4404), PN 64",97
6HC01,9,"Steel (1.0037), PN 6",98
6HS01,9,"Stainless steel (1.4404), PN 6",99
ET,10,Electric Traced,101
H,10,Heat Traced,102
SJ,10,Steam Jacketed,103
ST,10,Steam traced,104
W,10,Winterized,105
AS,11,Anti-Sweat,106
AU,11,Acoustic,107
IC,11,Cold,108
IH,11,Hot,109
IS,11,Safety,110
PP,11,Personal Protection,111
AE,12,ANALYZER PRIMARY ELEMENT,112
AI,12,ANALYZER INDICATOR,113
AT,12,ANALYZER TRANSMITTER,114
CV,12,GENERAL CONTROL VALVE,115
FAH,12,FLOW ALARM HIGH,116
FAL,12,FLOW ALARM LOW,117
FC,12,FLOW CONTROLLER,118
FE,12,FLOW ELEMENT,119
FI,12,FLOW INDICATOR,120
FIC,12,FLOW INDICATOR CONTROLLER,121
FIT,12,FLOW INDICATOR TRANSMITTER,122
FQ,12,FLOW METER,123
FS,12,FLOW SWITCH,124
FT,12,FLOW TRANSMITTER,125
FV,12,FLOW VALVE,126
FY,12,FLOW TRANSDUCER,127
HS,12,HAND SWITCH,128
LAH,12,LEVEL ALARM HIGH,129
LAL,12,LEVEL ALARM LOW,130
LC,12,LEVEL CONTROLLER,131
LE,12,LEVEL ELEMENT,132
LG,12,LEVEL GLASS,133
LI,12,LEVEL INDICATOR,134
LS,12,LEVEL SWITCH,135
LT,12,LEVEL TRANSMITTER,136
LV,12,LEVEL VALVE,137
LY,12,LEVEL TRANSDUCER,138
PAH,12,PRESSURE ALARM HIGH,139
PAL,12,PRESSURE ALARM LOW,140
PC,12,PRESSURE CONTROLLER,141
PE,12,PRESSURE ELEMENT,142
PI,12,PRESSURE INDICATOR,143
PS,12,PRESSURE SWITCH,144
PSV,12,PRESSURE RELIEF VALVE,145
PT,12,PRESSURE TRANSMITTER,146
PV,12,PRESSURE VALVE,147
PY,12,PRESSURE TRANSDUCER,148
TAH,12,TEMPERATURE ALARM HIGH,149
TAHH,12,TEMPERATURE ALARM HIGH HIGH,150
TAL,12,TEMPERATURE ALARM LOW,151
TC,12,TEMPERATURE CONTROLLER,152
TE,12,TEMPERATURE ELEMENT,153
TI,12,TEMPERATURE INDICATOR,154
TS,12,TEMPERATURE SWITCH,155
TT,12,TEMPERATURE TRANSMITTER,156
TV,12,TEMPERATURE VALVE,157
TW,12,THERMOWELL,158
TY,12,TEMPERATURE TRANSDUCER,159
XAH,12,LIMIT ALARM HIGH,160
XAL,12,LIMIT ALARM LOW,161
XV,12,SOLENOID VALVE,162
XY,12,LIMIT SWITCH,163
ZA,12,POSITION ALARM,164
ZS,12,POSITION SWITCH,165
AV,13,ATMOSPHERIC VENT,166
BA,13,BREATHING AIR,167
BD,13,BLOWDOWN,168
BFW,13,BOILED FEED WATER,169
BRR,13,BRINE RETURN,170
BRS,13,BRINE SUPPLY,171
CC,13,CONTAMINABLE CONDENSATE,172
CF,13,COLD FLARE,173
CHS,13,CHEMICAL SEWER,174
CV,13,COLD VENT,175
CWR,13,COOLING WATER RETURN',176
CWS,13,COOLING WATER SUPPLY,177
DMW,13,DEMINERALIZED WATER,178
DR,13,DRAIN,179
DS,13,DILUTION STEAM,180
DW,13,DRINKING WATER,181
ER,13,ETHYLENE REFRICERANT,182
FF,13,FLUSHING FLUID,183
FG,13,FUEL GAS,184
FO,13,FUEL OIL,185
FW,13,FIRE WATER,186
GLR,13,GLYCOL RETURN,187
GLS,13,GLYCOL SUPPLY,188
H,13,HYDROGEN,189
HS,13,HIGH PRESSURE STEAM,190
IA,13,INSTRUMENT AIR,191
IS,13,INTERMEDIATE PRESSURE STEAM,192
LNG,13,LIQUIFIED NATURAL GAS,193
LO,13,LUBE OIL,194
LPG,13,LIQUIFIED PETROLEUM GAS,195
LS,13,LOW PRESSURE STEAM,196
ME,13,METHANOL,197
MR,13,MIXED REFRIGERANT,198
MS,13,MEDIUM PRESSURE STEAM,199
N,13,NITROGEN,201
NA,13,CAUSTIC,202
NAS,13,CAUSTIC SEWER,203
NG,13,NATURAL GAS,204
NH,13,AMMONIA,205
OWS,13,OILY WATER SEWER,206
OX,13,OXYGEN,207
P,13,GENERAL PROCESS,208
PA,13,PLANT AIR,209
PC,13,PROCESS CONDENSATE,210
PR,13,PROPYLENE REFRIGERANT,211
PW,13,PROCESS WATER,212
QO,13,QUENCH OIL,213
RS,13,RECOVERED SLOPS,214
RV,13,RELIEF VENT,215
RW,13,RAW WATER,216
SC,13,STEAM CONDENSATE,217
SG,13,SYNTHESIS GAS,218
SO,13,SEAL OIL,219
SS,13,SANITARY SEWER,220
STS,13,STORM SEWER,221
SW,13,SERVICE WATER,222
SWR,13,SEA WATER RETURN,223
SWS,13,SEA WATER SUPPLY,224
TWR,13,TEMPERED WATER RETURN,225
TWS,13,TEMPERED WATER SUPPLY,226
VC,13,VACUUM CONDENSATE,227
VE,13,VACUUM EXHAUST,228
WF,13,WARM FLARE,229
WO,13,WASH OIL,230
WW,13,WASTE WATER,231
CSC,14,,232
CSO,14,,233
LC,14,,234
LO,14,,235
NC,14,,236
NO,14,,237
CSC,15,Angle Valve Style,238
CSO,15,Angle Valve Style,239
LC,15,Angle Valve Style,240
LO,15,Angle Valve Style,241
NC,15,Angle Valve Style,242
NO,15,Angle Valve Style,243
CSC,16,Ball Valve Closed Style,244
CSO,16,Ball Valve Style,245
LC,16,Ball Valve Closed Style,246
LO,16,Ball Valve Style,247
NC,16,Ball Valve Closed Style,248
NO,16,Ball Valve Style,249
CSC,17,Butterfly Valve Style,250
CSO,17,Butterfly Valve Style,251
LC,17,Butterfly Valve Style,252
LO,17,Butterfly Valve Style,253
NC,17,Butterfly Valve Style,254
NO,17,Butterfly Valve Style,255
CSC,18,Check Valve Style,256
CSO,18,Check Valve Style,257
LC,18,Check Valve Style,258
LO,18,Check Valve Style,259
NC,18,Check Valve Style,260
NO,18,Check Valve Style,261
CSC,19,Diaphragm Valve Style,262
CSO,19,Diaphragm Valve Style,263
LC,19,Diaphragm Valve Style,264
LO,19,Diaphragm Valve Style,265
NC,19,Diaphragm Valve Style,266
NO,19,Diaphragm Valve Style,267
CSC,20,Diverter Valve Style,268
CSO,20,Diverter Valve Style,269
LC,20,Diverter Valve Style,270
LO,20,Diverter Valve Style,271
NC,20,Diverter Valve Style,272
NO,20,Diverter Valve Style,273
CSC,21,Excess Flow Valve Style,274
CSO,21,Excess Flow Valve Style,275
LC,21,Excess Flow Valve Style,276
LO,21,Excess Flow Valve Style,277
NC,21,Excess Flow Valve Style,278
NO,21,Excess Flow Valve Style,279
CSC,22,Four Way Valve Style,280
CSO,22,Four Way Valve Style,281
LC,22,Four Way Valve Style,282
LO,22,Four Way Valve Style,283
NC,22,Four Way Valve Style,284
NO,22,Four Way Valve Style,285
CSC,23,Gate Valve Closed Style,286
CSO,23,Gate Valve Style,287
LC,23,Gate Valve Closed Style,288
LO,23,Gate Valve Style,289
NC,23,Gate Valve Closed Style,290
NO,23,Gate Valve Style,291
CSC,24,Generic Rotary Valve Style,292
CSO,24,Generic Rotary Valve Style,293
LC,24,Generic Rotary Valve Style,294
