PicklistName,DisplayName,PicklistType,IsReadOnly,PnPID
Pipe_Sizes_Metric,Pipe_Sizes_Metric,Regular,0.0,8
Pipe_Specs,Pipe_Specs,Regular,0.0,9
Tracing_Types,Tracing_Types,Regular,0.0,10
Insulation_Types,Insulation_Types,Regular,0.0,11
Instrument_Types,Instrument_Types,Regular,0.0,12
Services,Services,Regular,0.0,13
SSPL$HandValves_Normally,,SymbolSelect,0.0,14
SSPL$AngleValve_Normally,,SymbolSelect,0.0,15
SSPL$BallValve_Normally,,SymbolSelect,0.0,16
SSPL$ButterflyValve_Normally,,SymbolSelect,0.0,17
SSPL$CheckValve_Normally,,SymbolSelect,0.0,18
SSPL$DiaphragmValve_Normally,,SymbolSelect,0.0,19
SSPL$DiverterValve_Normally,,SymbolSelect,0.0,20
SSPL$ExcessFlowValve_Normally,,SymbolSelect,0.0,21
SSPL$FourWayValve_Normally,,SymbolSelect,0.0,22
SSPL$GateValve_Normally,,SymbolSelect,0.0,23
SSPL$GenericRotaryValve_Normally,,SymbolSelect,0.0,24
SSPL$GlobeValve_Normally,,SymbolSelect,0.0,25
SSPL$KnifeValve_Normally,,SymbolSelect,0.0,26
SSPL$NeedleValve_Normally,,SymbolSelect,0.0,27
SSPL$PinchValve_Normally,,SymbolSelect,0.0,28
SSPL$PlugValve_Normally,,SymbolSelect,0.0,29
SSPL$RotaryValve_Normally,,SymbolSelect,0.0,30
SSPL$StopCheckValve_Normally,,SymbolSelect,0.0,31
SSPL$ThreeWayValve_Normally,,SymbolSelect,0.0,32
SSPL$AngleBallValve_Normally,,SymbolSelect,0.0,33
SSPL$AngleGlobeValve_Normally,,SymbolSelect,0.0,34
SSPL$BreatherValve_Normally,,SymbolSelect,0.0,35
SSPL$LiftCheckValve_Normally,,SymbolSelect,0.0,36
SSPL$SwingCheckValve_Normally,,SymbolSelect,0.0,37
SSPL$ThreeWayBallValve_Normally,,SymbolSelect,0.0,38
SSPL$ThreeWayGlobeValve_Normally,,SymbolSelect,0.0,39
SSPL$ValveGeneral_Normally,,SymbolSelect,0.0,40
Equipment_Types,Equipment_Types,Regular,0.0,41
EndConnections,EndConnections,Regular,0.0,42
Pipe_Sizes_Imperial,Pipe_Sizes_Imperial,Regular,0.0,43
Status,Status,Regular,,44
SSPL$ControlValve_Normally,,SymbolSelect,,45
