ROWID,RELID,RelationshipTypeName
4518,1302,PipeLineGroupRelationship
3414,1302,PipeLineGroupRelationship
4519,1303,PipeLineGroupRelationship
3418,1303,PipeLineGroupRelationship
4521,1306,PipeLineGroupRelationship
3428,1306,PipeLineGroupRelationship
4524,1309,PipeLineGroupRelationship
3438,1309,PipeLineGroupRelationship
4525,1310,PipeLineGroupRelationship
3440,1310,PipeLineGroupRelationship
4526,1311,PipeLineGroupRelationship
3442,1311,PipeLineGroupRelationship
4527,1312,PipeLineGroupRelationship
3446,1312,PipeLineGroupRelationship
4528,1313,PipeLineGroupRelationship
3448,1313,PipeLineGroupRelationship
4530,1315,PipeLineGroupRelationship
3456,1315,PipeLineGroupRelationship
4532,1317,PipeLineGroupRelationship
3460,1317,PipeLineGroupRelationship
4533,1319,PipeLineGroupRelationship
3466,1319,PipeLineGroupRelationship
4535,1321,PipeLineGroupRelationship
3482,1321,PipeLineGroupRelationship
4536,1322,PipeLineGroupRelationship
3488,1322,PipeLineGroupRelationship
4537,1323,PipeLineGroupRelationship
3492,1323,PipeLineGroupRelationship
4537,1324,PipeLineGroupRelationship
3494,1324,PipeLineGroupRelationship
4538,1325,PipeLineGroupRelationship
3501,1325,PipeLineGroupRelationship
4539,1326,PipeLineGroupRelationship
3505,1326,PipeLineGroupRelationship
4540,1327,PipeLineGroupRelationship
3507,1327,PipeLineGroupRelationship
4540,1328,PipeLineGroupRelationship
3513,1328,PipeLineGroupRelationship
4540,1329,PipeLineGroupRelationship
3517,1329,PipeLineGroupRelationship
4541,1330,PipeLineGroupRelationship
3519,1330,PipeLineGroupRelationship
4543,1332,PipeLineGroupRelationship
3525,1332,PipeLineGroupRelationship
4544,1333,PipeLineGroupRelationship
3531,1333,PipeLineGroupRelationship
4570,1368,PipeLineGroupRelationship
4094,1368,PipeLineGroupRelationship
4574,1373,PipeLineGroupRelationship
4109,1373,PipeLineGroupRelationship
4584,1384,PipeLineGroupRelationship
4157,1384,PipeLineGroupRelationship
4586,1386,PipeLineGroupRelationship
4159,1386,PipeLineGroupRelationship
4587,1387,PipeLineGroupRelationship
4161,1387,PipeLineGroupRelationship
4588,1388,PipeLineGroupRelationship
4163,1388,PipeLineGroupRelationship
4589,1389,PipeLineGroupRelationship
4165,1389,PipeLineGroupRelationship
4590,1390,PipeLineGroupRelationship
4169,1390,PipeLineGroupRelationship
4591,1391,PipeLineGroupRelationship
4171,1391,PipeLineGroupRelationship
4594,1395,PipeLineGroupRelationship
4179,1395,PipeLineGroupRelationship
4597,1401,PipeLineGroupRelationship
4197,1401,PipeLineGroupRelationship
4606,1409,PipeLineGroupRelationship
4208,1409,PipeLineGroupRelationship
4617,1422,PipeLineGroupRelationship
4236,1422,PipeLineGroupRelationship
4618,1423,PipeLineGroupRelationship
4238,1423,PipeLineGroupRelationship
4620,1426,PipeLineGroupRelationship
4242,1426,PipeLineGroupRelationship
4620,1427,PipeLineGroupRelationship
4244,1427,PipeLineGroupRelationship
4621,1428,PipeLineGroupRelationship
4246,1428,PipeLineGroupRelationship
4623,1430,PipeLineGroupRelationship
4252,1430,PipeLineGroupRelationship
4625,1432,PipeLineGroupRelationship
4258,1432,PipeLineGroupRelationship
4625,1434,PipeLineGroupRelationship
4268,1434,PipeLineGroupRelationship
4626,1435,PipeLineGroupRelationship
4262,1435,PipeLineGroupRelationship
4627,1436,PipeLineGroupRelationship
4264,1436,PipeLineGroupRelationship
4631,1441,PipeLineGroupRelationship
4280,1441,PipeLineGroupRelationship
4632,1442,PipeLineGroupRelationship
4282,1442,PipeLineGroupRelationship
4633,1443,PipeLineGroupRelationship
4284,1443,PipeLineGroupRelationship
4635,1445,PipeLineGroupRelationship
4288,1445,PipeLineGroupRelationship
4636,1446,PipeLineGroupRelationship
4301,1446,PipeLineGroupRelationship
4637,1447,PipeLineGroupRelationship
4347,1447,PipeLineGroupRelationship
4638,1448,PipeLineGroupRelationship
4458,1448,PipeLineGroupRelationship
4639,1449,PipeLineGroupRelationship
4460,1449,PipeLineGroupRelationship
4641,1451,PipeLineGroupRelationship
4464,1451,PipeLineGroupRelationship
4642,1452,PipeLineGroupRelationship
4466,1452,PipeLineGroupRelationship
4643,1453,PipeLineGroupRelationship
4468,1453,PipeLineGroupRelationship
4645,1456,PipeLineGroupRelationship
4509,1456,PipeLineGroupRelationship
4651,1464,PipeLineGroupRelationship
4488,1464,PipeLineGroupRelationship
4654,1467,PipeLineGroupRelationship
4494,1467,PipeLineGroupRelationship
4655,1468,PipeLineGroupRelationship
4496,1468,PipeLineGroupRelationship
4655,1469,PipeLineGroupRelationship
4501,1469,PipeLineGroupRelationship
4656,1470,PipeLineGroupRelationship
4505,1470,PipeLineGroupRelationship
4656,1471,PipeLineGroupRelationship
4515,1471,PipeLineGroupRelationship
4658,1473,PipeLineGroupRelationship
4511,1473,PipeLineGroupRelationship
3525,1508,LineEndAsset
3527,1508,LineEndAsset
4094,1526,LineStartAsset
4115,1526,LineStartAsset
4268,1535,LineFlowArrow
4266,1535,LineFlowArrow
3492,1585,LineLineRelationship
3494,1585,LineLineRelationship
3494,1587,LineLineRelationship
3492,1587,LineLineRelationship
3492,1589,LineStartLine
3494,1589,LineStartLine
3494,1590,LineEndLine
3492,1590,LineEndLine
4258,1815,LineLineRelationship
4268,1815,LineLineRelationship
4268,1817,LineLineRelationship
4258,1817,LineLineRelationship
4258,1819,LineStartLine
4268,1819,LineStartLine
4268,1825,LineStartLine
4258,1825,LineStartLine
4486,1873,LineLineRelationship
4498,1873,LineLineRelationship
4498,1875,LineStartLine
4486,1875,LineStartLine
4496,1876,LineLineRelationship
4501,1876,LineLineRelationship
4501,1878,LineEndLine
4496,1878,LineEndLine
4486,1879,LineLineRelationship
4503,1879,LineLineRelationship
4503,1881,LineEndLine
4486,1881,LineEndLine
4517,1301,PipeLineGroupRelationship
3408,1301,PipeLineGroupRelationship
3408,1475,LineEndAsset
3404,1475,LineEndAsset
3408,1476,LineStartAsset
3406,1476,LineStartAsset
3418,2463,AnnotationRelationship
6062,2463,AnnotationRelationship
3531,2609,LineInlineAsset
6221,2609,LineInlineAsset
4290,2712,AnnotationRelationship
6294,2712,AnnotationRelationship
4290,2715,AnnotationRelationship
6301,2715,AnnotationRelationship
4292,2716,AnnotationRelationship
6304,2716,AnnotationRelationship
4292,2717,AnnotationRelationship
6306,2717,AnnotationRelationship
3418,2739,LineOffPageConnector
6314,2739,LineOffPageConnector
3428,2745,LineOffPageConnector
6326,2745,LineOffPageConnector
3428,2748,AnnotationRelationship
6334,2748,AnnotationRelationship
6551,2877,SignalLineGroupRelationship
6548,2877,SignalLineGroupRelationship
6548,2878,LineLineRelationship
6546,2878,LineLineRelationship
6546,2880,LineStartLine
6548,2880,LineStartLine
6551,2881,SignalLineGroupRelationship
6546,2881,SignalLineGroupRelationship
6557,2886,SignalLineGroupRelationship
6554,2886,SignalLineGroupRelationship
6554,2887,LineLineRelationship
6552,2887,LineLineRelationship
6552,2889,LineEndLine
6554,2889,LineEndLine
6557,2890,SignalLineGroupRelationship
6552,2890,SignalLineGroupRelationship
6554,2891,LineInlineAsset
4305,2891,LineInlineAsset
6610,2915,LineLineRelationship
6621,2915,LineLineRelationship
6621,2917,LineLineRelationship
6610,2917,LineLineRelationship
6610,2919,LineStartLine
6621,2919,LineStartLine
6621,2927,LineStartLine
6610,2927,LineStartLine
6620,2931,SignalLineGroupRelationship
6610,2931,SignalLineGroupRelationship
6620,2932,SignalLineGroupRelationship
6621,2932,SignalLineGroupRelationship
6621,2971,LineLineRelationship
6629,2971,LineLineRelationship
6620,2976,SignalLineGroupRelationship
6629,2976,SignalLineGroupRelationship
6640,2977,PipeLineGroupRelationship
6632,2977,PipeLineGroupRelationship
6640,2978,PipeLineGroupRelationship
6634,2978,PipeLineGroupRelationship
6642,2979,PipeLineGroupRelationship
6636,2979,PipeLineGroupRelationship
6634,2983,LineLineRelationship
6632,2983,LineLineRelationship
6632,2985,LineEndLine
6634,2985,LineEndLine
6648,2991,PipeLineGroupRelationship
6644,2991,PipeLineGroupRelationship
6654,2998,PipeLineGroupRelationship
6650,2998,PipeLineGroupRelationship
6662,3006,PipeLineGroupRelationship
6656,3006,PipeLineGroupRelationship
