TableName,AttributeName,AttributeValue,AttributeType
EngineeringItems,AnnotationStyleName,Oval Tag Style,PnPAnnotation
EngineeringItems,BitwiseFlagValue,3,PnPClassFlagType
EngineeringItems,DisplayName,Engineering Items,PnPClassDisplayName
EngineeringItems,GraphicalStyleName,Engineering Items Style,PnPGraphical
Equipment,AnnotationStyleName,Equipment Tag,PnPAnnotation
Equipment,BitwiseFlagValue,3,PnPClassFlagType
Equipment,DisplayName,Equipment,PnPClassDisplayName
Equipment,GraphicalStyleName,Equipment Style,PnPGraphical
Equipment,TagFormatName,Equipment Tag [Type-Number],PnPTagFormat
Blowers,BitwiseFlagValue,3,PnPClassFlagType
Blowers,DisplayName,Blowers,PnPClassDisplayName
Blowers,GraphicalStyleName,Blowers Style,PnPGraphical
BlowerGeneral,BitwiseFlagValue,0,PnPClassFlagType
BlowerGeneral,DisplayName,General Blower,PnPClassDisplayName
BlowerRadial,BitwiseFlagValue,0,PnPClassFlagType
BlowerRadial,DisplayName,Radial Blower,PnPClassDisplayName
CentrifugalBlower,BitwiseFlagValue,3,PnPClassFlagType
CentrifugalBlower,DisplayName,Centrifugal Blower,PnPClassDisplayName
CentrifugalBlower,GraphicalStyleName,Centrifugal Blower Style,PnPGraphical
PositiveDisplacementBlower,BitwiseFlagValue,3,PnPClassFlagType
PositiveDisplacementBlower,DisplayName,Positive Displacement Blower,PnPClassDisplayName
PositiveDisplacementBlower,GraphicalStyleName,Positive Displacement Blower Style,PnPGraphical
BlowerAxial,AnnotationStyleName,Oval Tag Style,PnPAnnotation
BlowerAxial,BitwiseFlagValue,0,PnPClassFlagType
BlowerAxial,DisplayName,Axial Blower,PnPClassDisplayName
BlowerAxial,GraphicalStyleName,Blowers Style,PnPGraphical
BlowerAxial,TagFormatName,Equipment Tag [Type-Number],PnPTagFormat
Compressors,BitwiseFlagValue,3,PnPClassFlagType
Compressors,DisplayName,Compressors,PnPClassDisplayName
Compressors,GraphicalStyleName,Compressors Style,PnPGraphical
CentrifugalCompressor,BitwiseFlagValue,3,PnPClassFlagType
CentrifugalCompressor,DisplayName,Centrifugal Compressor,PnPClassDisplayName
CentrifugalCompressor,GraphicalStyleName,Centrifugal Compressor Style,PnPGraphical
DiaphragmCompressor,BitwiseFlagValue,0,PnPClassFlagType
DiaphragmCompressor,DisplayName,Diaphragm Compressor,PnPClassDisplayName
EjectorCompressor,BitwiseFlagValue,0,PnPClassFlagType
EjectorCompressor,DisplayName,Ejector Compressor,PnPClassDisplayName
GeneralCompressor,BitwiseFlagValue,0,PnPClassFlagType
GeneralCompressor,DisplayName,General Compressor,PnPClassDisplayName
LiquidRingCompressor,BitwiseFlagValue,0,PnPClassFlagType
LiquidRingCompressor,DisplayName,Liquid Ring Compressor,PnPClassDisplayName
PositiveDisplacementCompressor,BitwiseFlagValue,0,PnPClassFlagType
PositiveDisplacementCompressor,DisplayName,Positive Displacement Compressor,PnPClassDisplayName
ReciprocatingCompressor,BitwiseFlagValue,3,PnPClassFlagType
ReciprocatingCompressor,DisplayName,Reciprocating Compressor,PnPClassDisplayName
