TableName,BaseTable,Abstract,PhysicalName,Revision,SyncTimestamp
PnPBase,,TRUE,PnPBase,,
PnPDataLinks,PnPBase,FALSE,PnPDataLinks,,
PnPDrawings,PnPBase,FALSE,PnPDrawings,1.0,
PnPTagRegistries,PnPBase,FALSE,PnPTagRegistries,,
PnPTagEnlistedColumns,PnPBase,FALSE,PnPTagEnlistedColumns,,
EngineeringItems,PnPBase,FALSE,EngineeringItems,,
Equipment,EngineeringItems,FALSE,Equipment,,
Blowers,Equipment,FALSE,Blowers,,
BlowerGeneral,Blowers,FALSE,BlowerGeneral,,
BlowerRadial,Blowers,FALSE,BlowerRadial,,
CentrifugalBlower,Blowers,FALSE,CentrifugalBlower,,
PositiveDisplacementBlower,Blowers,FALSE,PositiveDisplacementBlower,,
BlowerAxial,Blowers,FALSE,BlowerAxial,,
Compressors,Equipment,FALSE,Compressors,,
CentrifugalCompressor,Compressors,FALSE,CentrifugalCompressor,,
DiaphragmCompressor,Compressors,FALSE,DiaphragmCompressor,,
EjectorCompressor,Compressors,FALSE,EjectorCompressor,,
GeneralCompressor,Compressors,FALSE,GeneralCompressor,,
LiquidRingCompressor,Compressors,FALSE,LiquidRingCompressor,,
PositiveDisplacementCompressor,Compressors,FALSE,PositiveDisplacementCompressor,,
ReciprocatingCompressor,Compressors,FALSE,ReciprocatingCompressor,,
RollerVaneCompressor,Compressors,FALSE,RollerVaneCompressor,,
RotaryCompressor,Compressors,FALSE,RotaryCompressor,,
ScrewCompressor,Compressors,FALSE,ScrewCompressor,,
TurboCompressor,Compressors,FALSE,TurboCompressor,,
ReciprocatingDiaphragmCompressor,Compressors,FALSE,ReciprocatingDiaphragmCompressor,,
RotaryPistonCompressor,Compressors,FALSE,RotaryPistonCompressor,,
TurboCompressorAxialFlow,Compressors,FALSE,TurboCompressorAxialFlow,,
TurboCompressorRadialFlow,Compressors,FALSE,TurboCompressorRadialFlow,,
ImpellerVanePitchAdjustmentDevice,Compressors,FALSE,ImpellerVanePitchAdjustmentDevice,,
GuideVanePitchAdjustmentDevice,Compressors,FALSE,GuideVanePitchAdjustmentDevice,,
RootsCompressor,Compressors,FALSE,RootsCompressor,,
JetCompressor,Compressors,FALSE,JetCompressor,,
Conveyors,Equipment,FALSE,Conveyors,,
BeltConveyor,Conveyors,FALSE,BeltConveyor,,
BucketConveyor,Conveyors,FALSE,BucketConveyor,,
ChainConveyor,Conveyors,FALSE,ChainConveyor,,
GeneralConveyor,Conveyors,FALSE,GeneralConveyor,,
ScrewConveyor,Conveyors,FALSE,ScrewConveyor,,
VibratingConveyor,Conveyors,FALSE,VibratingConveyor,,
ReversingContinuousConveyor,Conveyors,FALSE,ReversingContinuousConveyor,,
SteelApronConveyor,Conveyors,FALSE,SteelApronConveyor,,
BoxConveyor,Conveyors,FALSE,BoxConveyor,,
ScraperConveyor,Conveyors,FALSE,ScraperConveyor,,
