PnPID,Size2
7327,40
7337,40
7461,100
7624,50
7640,50
7717,25
7746,50
7770,80
7912,80
7928,50
7940,25
7946,80
7962,50
7968,50
7978,25
8017,25
8040,50
8054,32
8070,
8076,50
8096,25
8131,25
8157,25
8182,25
8221,50
8233,50
8408,50
8445,50
8459,25
8469,25
8497,50
8513,50
8549,50
8555,32
8569,25
8605,25
8616,25
8683,50
8715,25
8741,25
8747,25
8755,25
8805,"1/2"""
8836,25
8880,25
8894,25
9038,25
9051,50
9081,50
9171,40
9204,25
9262,25
9289,15
9319,25
9338,25
9477,25
9491,25
9516,25
9522,25
9553,25
9565,25
9573,25
9593,25
9599,25
9617,"1/2"""
9652,"1/2"""
10186,50
10431,25
10706,25
