PnPID,Tag,From,To
6546,?,?,?GO+S+H6635
6548,?,034.010.1 0 616-50/10 RA279C 177,?HM+H6635
6552,?,,?
6554,?,,
6610,?,,
6621,?,,?
6629,?,?,
6839,?,,?
7023,?,,?
7025,?,?,
8659,?,,
8913,?,?-?-?,
8915,?,,
9097,?,,
9139,?,,
9141,?,,
9211,?,?,?
9213,?,,?HM±H6611
9225,?,,
9345,?,,?
9350,?,,?HM±H6611
11930,?,?,
11940,?,,
12006,?,,
12046,?,,
12069,?,,
12079,?,?,
12084,?,,HVMK-H 440
12107,?,GO-H 440,
12153,?,,LIS-A-L 441
12156,?,TS-NU 441,
12276,?,020.003.1-0-4 752.5183-15/25HB25T01B1-W35,
12279,?,,
12282,?,020.003.1-0-4 752.5183-15/25HB25T01B1-W35,FIR-F 463
12302,?,,
12324,?,,PI-P 446
12330,?,020.003.1-0-4 752.5183-15/25HB25T01B1-W35,
12341,?,,
12344,?,,
12346,?,,
12348,?,,
12350,?,,
12352,?,,
12354,?,,
12356,?,,
12358,?,,
12360,?,,
12362,?,,
12364,?,,
12366,?,,
12380,?,,FVK-F 464-1
12383,?,,
12388,?,,
12391,?,,
12426,?,PICA-P 441,SIC-NP 441
12429,?,PDIS-P 445,PICA-P 441
12432,?,,PDIS-P 445
12472,?,?,
12520,?,,
12537,?,?,
12542,?,,HVM-K-H 442
12545,?,?,GO-H 442
12648,?,,
