PnPID,Diameter,Capacity,DesignPressure,DesignTemperature,Trim,InsulationType,Insulation,Height,Width,OperatingPressure,OperatingTemperature,NumberOfTrays
3404,,,,,,,,,,,,
3406,,,,,,,,,,,,
3426,,,,,,,,,,,,
3472,,,,,,,,,,,,
3474,,,,,,,,,,,,
3478,,,,,,,,,,,,
3890,,,,,,,,,,,,
4115,,,DSAD,,,,,,,,,
4117,,,,,,,,,,,,
4290,,,,,,,,,,,,
4292,,,,,,,,,,,,
7202,,,,,,,,,,,,
9373,,,,,,,,,,,,
9835,,,,,,,,,,,,
10171,,,,,,,,,,,,
12004,,,,,,,,,,,,
12035,,,,,,,,,,,,
12116,,,,,,,,,,,,
12139,,,,,,,,,,,,
12187,,,,,,,,,,,,
